ID,frequency,recency,T
6023,1,9.599085648,19.17136574
6029,1,740.0045023,1105.285567
6037,2,896.066169,909.038125
6042,0,0,522.1243171
6047,0,0,1111.243912
6053,2,205.7776852,1164.254167
6061,0,0,240.2997338
6067,4,750.4123032,917.5033218
6078,0,0,666.6760185
6112,3,467.2703356,562.5402894
6113,0,0,229.3526736
6141,9,992.5671412,1085.123148
6180,0,0,1105.434618
6206,0,0,422.0228356
6210,2,564.9320602,928.0249074
6217,0,0,292.5692708
6267,8,416.6447454,1161.094294
6268,0,0,310.5342245
6292,0,0,403.5382639
6301,3,746.343669,1169.0289
6302,0,0,806.2603472
6333,0,0,999.5686343
6334,1,223.4378704,1123.495544
6347,0,0,947.3256481
6352,2,504.967581,622.5848727
6360,2,1063.761597,1125.090787
6362,1,352.0054282,795.1781134
6372,0,0,101.1189699
6388,0,0,79.28142361
6398,4,400.9933912,1010.478785
6401,1,454.4573727,1020.164653
6419,0,0,297.9901389
6431,11,521.5835069,536.6494444
6436,0,0,611.4802199
6456,2,469.8847801,1038.127326
6477,0,0,300.8499769
6511,1,43.0028125,771.1262963
6544,4,903.8137153,917.8652546
6554,1,39.58175926,312.0862847
6558,0,0,1175.616424
6570,1,314.9233218,1083.467037
6571,0,0,771.5600694
6580,0,0,703.0804282
6596,0,0,679.1177778
6601,0,0,2.579247685
6605,0,0,905.4966204
6635,0,0,1027.343843
6639,0,0,103.1618866
6651,1,497.0559954,776.2034144
6661,13,895.2349306,1118.410012
6667,0,0,1130.274595
6673,0,0,489.2029282
6705,6,841.9441319,1152.411852
6709,1,793.4303588,808.6609028
6739,0,0,272.4853819
6757,1,139.8694213,568.4440509
6765,1,253.0813542,632.1622454
6774,0,0,1115.239653
6783,7,759.66375,1121.670243
6829,2,354.2255556,527.3414815
6840,0,0,1055.017338
6861,1,996.0928356,1002.316875
6876,4,536.2630671,551.3546296
6880,2,632.9379977,645.5501968
6889,0,0,655.2465162
6895,3,620.0545949,757.983669
6903,0,0,742.4847106
6928,0,0,1097.067361
6931,0,0,1088.217072
6938,0,0,412.3368866
6954,0,0,256.3647801
6956,0,0,802.5024653
6966,1,334.0133218,651.5794329
6971,0,0,585.4778704
6973,1,106.8783681,398.5098495
6976,1,741.383831,1132.50184
6988,5,505.9602546,566.5072917
7001,4,362.261956,423.3778588
7027,0,0,760.5635764
7032,0,0,439.1528356
7045,0,0,377.1426042
7058,0,0,401.2867477
7071,0,0,1105.109456
7074,1,924.097419,1048.459421
7084,9,950.0781944,962.5947106
7101,0,0,460.3672917
7120,0,0,551.3667708
7121,0,0,1104.296285
7128,0,0,157.0101968
7130,0,0,447.0797222
7143,0,0,354.3950463
7148,1,5.271030093,202.5281713
7155,0,0,1168.00331
7163,2,469.9819907,589.6071412
7165,2,643.6205208,741.1046296
7172,8,377.9680903,1098.19581
7198,0,0,270.4390278
7212,0,0,529.7184838
7223,4,833.8720718,1157.112083
7234,0,0,870.3774074
7239,7,1098.946563,1108.462975
7257,2,521.8629977,1175.511088
7259,0,0,222.315706
7272,0,0,1138.187118
7294,3,704.7417361,1097.995509
7312,3,762.1658796,835.3755787
7328,9,791.8449306,1170.990532
7330,0,0,1061.179514
7347,1,922.0125926,935.2314468
7348,0,0,287.7007407
7387,2,261.7681713,1067.212037
7399,0,0,12.48498843
7401,3,969.4235532,985.0245255
7409,0,0,1067.011424
7419,0,0,725.4224306
7436,1,746.5055787,746.6251968
7483,0,0,657.5122338
7488,0,0,850.5782176
7489,1,235.8464468,537.3163079
7496,3,857.1553356,1014.590231
7517,0,0,1149.062072
7524,3,519.2719792,898.4796644
7526,0,0,846.1497454
7540,2,1021.720729,1121.346169
7560,6,1012.130093,1045.308727
7572,0,0,905.1632523
7573,0,0,1065.203322
7577,0,0,538.2230903
7590,1,457.9010301,701.1183681
7613,2,1001.000475,1138.388889
7620,1,199.981713,365.1941204
7626,5,867.7349421,1181.090556
7634,0,0,1076.137407
7639,0,0,531.9611111
7668,0,0,277.1724074
7671,2,1104.91816,1158.006921
7679,1,284.8169676,577.3643866
7691,0,0,890.7761458
7704,1,62.89028935,923.3002199
7705,1,0.696840278,479.2015856
7753,18,1180.082674,1194.532222
7763,0,0,867.1828356
7787,0,0,717.9565046
7813,0,0,918.4425694
7829,1,14.05662037,107.2749769
7835,0,0,551.6216204
7845,3,775.0138426,1111.338275
7847,0,0,816.5584722
7852,1,34.54978009,63.1756713
7878,0,0,270.2778588
7885,0,0,1103.322894
7909,0,0,644.9799884
7914,0,0,178.4200231
7925,0,0,363.6340278
7933,0,0,1100.127639
7935,0,0,718.5131134
7936,0,0,560.4253241
7947,0,0,533.010706
7958,4,993.9244329,1111.357419
7959,0,0,1098.176921
7993,11,744.1520833,1144.114815
7994,1,29.14179398,780.2392477
8027,0,0,443.0156134
8053,0,0,858.2085995
8054,0,0,696.2640856
8076,0,0,1177.410509
8078,0,0,1088.986204
8092,0,0,234.2050579
8093,0,0,704.2115856
8095,4,1076.717789,1151.095648
8097,4,912.061794,1030.564919
8113,1,423.8661921,979.3350231
8127,0,0,687.3610185
8131,6,1055.160856,1134.315602
8136,1,1015.183727,1172.420671
8142,0,0,1112.112245
8146,4,86.87159722,1138.147002
8157,0,0,648.1680787
8170,1,18.1921875,865.3500926
8173,4,457.9006366,907.5601273
8176,1,720.9847222,741.0411574
8200,1,104.0269907,1181.199005
8215,0,0,569.4840625
8247,0,0,639.24875
8255,1,35.9769213,56.05703704
8271,0,0,487.6485417
8291,2,220.5053241,700.5490394
8319,1,1.141238426,448.5946759
8321,1,57.19503472,59.32792824
8346,0,0,1118.010347
